Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BAT-SMD_L82.5.5-W25-BH-21700-B1BJ001,2,21700 Li-ion,C20606791
"C1, C104, C105, C13, C2, C3, C8",0402,7,2.2uF,C33546001
"C10, C11, C122, C123, C124, C126, C127, C128, C141, C143, C156, C16, C168, C169, C177, C187, C188, C189, C190, C191, C192",0603,21,10uF,C22392391
"C100, C163, C164, C17, C176, C178, C179, C18, C180, C181, C182, C183, C20, C25, C39, C41, C43, C45, C46, C94",0402,20,1uF,C53426846
C101,0402,1,4.7uF,C6119795
"C102, C103, C106, C111, C99",0402,5,10uF,C6119763
"C108, C109, C161, C162",0402,4,2.2nF,C2987940
C110,0603,1,10uF,C7393892
"C112, C159, C160",0402,3,1nF,C54916656
"C113, C114",0402,2,1pF,
"C115, C95",0402,2,47pF,C20069324
"C116, C121, C131, C136, C184, C19, C24, C49, C5, C50, C51, C54, C61, C64, C66, C72, C80, C89, C91",0402,19,100nF,C5272680
"C117, C118, C52",0402,3,1uF,C7472948
"C119, C120",1206,2,22uF,C12891
"C125, C129, C135, C145",0603,4,2.2uF,C7432769
"C14, C38, C40, C42, C44, C48, C67, C68, C69, C70",0805,10,10uF,C6119892
"C144, C147, C185",0805,3,22uF,C98190
"C153, C158",0402,2,5.6pF,C525219
"C155, C157, C186",0603,3,22uF,C2762594
"C21, C22, C23",0402,3,10nF,C696856
"C26, C29, C30, C32, C34, C35",1206,6,10uF,C14860
"C27, C28, C57, C59, C60, C63, C65, C71, C73, C74, C82, C84, C85, C86, C87, C88, C92",1206,17,10uF,C49326770
C31,0805,1,4.7uF,C7472970
"C33, C36",0402,2,330pF,C190579
C37,0603,1,1uF,C7432774
"C53, C55, C56, C58",0402,4,0.47uF,C49333230
"C6, C7",0402,2,7pF,C2929131
"C62, C79",0805,2,2.2uF,C17702473
"C75, C76, C77",0402,3,47nF,C5142571
C78,0603,1,4.7uF,C22367829
C90,1206,1,10uF,C33546013
C93,0402,1,22pF,C696857
"C96, C97",0402,2,10nF,
"D1, D2, D3",SOT-23-5,3,ESDS314DBVR,C1847859
D10,Texas_DPY0002A_0.6x1mm_P0.65mm,1,TI ESD501,C42409135
D11,0805,1,LED Red,C51933307
D12,0805,1,LED Blue,C51933309
D13,Texas_DPY0002A_0.6x1mm_P0.65mm,1,ESD501,C42409135
D14,Texas_DPY0002A_0.6x1mm_P0.65mm,1,ESD351DPYR,C1974929
D15,D_SOD-523,1,RB531SM-30,C2766159
D16,D_SOD-523,1,RB531SM-30T2R,C2766159
"D17, D19",Texas_DPY0002A_0.6x1mm_P0.65mm,2,TPD1E10B06,C48260
D18,0603,1,PGB1010603,C10677
D20,D_SOD-123F,1,SMF6.0A,C2758490
D21,SOT-23,1,BAT54A,C55258619
D22,SOT-323_SC-70,1,BAT54W,C5186013
D4,D_SOD-323,1,1N5819WS,C191023
D5,D_SOD-123,1,SMF10A,C52148349
D6,SOT-23,1,BAV199,C5184419
D7,D_SOD-123F,1,SMF24A,C399294
D8,0805,1,CHARGING,C19171393
D9,D_SMB,1,SS36B,C46598116
"F1, F3",0805,2,1A Hold,C135331
F2,0805,1,"2A Hold, 4A Trip",C6851467
F4,0805,1,SMD0805B035TF,C269103
F5,2920,1,10A hold,C50338483
F6,1812,1,3A hold 5A trip,C2972730
FB1,0603,1,BLM18HG601SN1D,C85830
FL1,Filter_1411-5_1.4x1.1mm,1,B39162B4327P810,C2650956
FL2,FILTER-SMD_0805-8P-L2.0-W1.2-TL,1,0900LP15B0063001E,C17287560
J1,HDR-SMD_6P-P2.54-H-F-W11.7,1,SPI BUS,C46061770
J10,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,SOLAR,C295747
J11,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Conn_Coaxial,
J12,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial_Small,
J13,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Conn_Coaxial,C5250058
J14,HDR-SMD_16P-P2.54_HXPM2.54-2X8PWT,1,GPIO_Expander,C46635853
J15,JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal,1,LED 5V,C161861
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,I2C3,C160404
J3,CONN-SMD_4P-P2.54_HX-PM2.54-1X4PWT,1,I2C1,C46061768
J4,PinSocket_1x04_P2.54mm_Vertical,1,I2C2,
J5,Molex_PicoBlade_53261-0871_1x08-1MP_P1.25mm_Horizontal,1,e-Ink Display Connector,C3029365
