Designator,Mid X,Mid Y,Rotation,Layer
BT1,138.45,-83.06,90.0,bottom
BT2,113.3,-83.15,270.0,bottom
BT3,100.05,-74.8319,90.0,top
C1,135.95,-158.05,180.0,bottom
C10,127.95,-157.65,0.0,top
C100,116.15,-71.35,180.0,top
C101,115.75,-46.35,270.0,top
C102,98.95,-72.4,270.0,top
C103,100.05,-72.4,270.0,top
C104,104.45,-85.95,0.0,top
C105,113.35,-121.78,90.0,top
C106,107.45,-85.75,0.0,top
C107,107.05,-55.45,270.0,top
C108,105.78,-84.68,180.0,top
C109,107.28,-81.38,0.0,top
C11,128.0,-155.0,0.0,top
C110,110.48,-79.98,180.0,top
C111,107.98,-80.28,180.0,top
C112,150.75,-44.95,90.0,top
C115,145.87,-50.7,0.0,top
C116,146.15,-71.65,0.0,top
C117,118.7,-73.2,90.0,top
C118,118.65,-77.25,270.0,top
C119,116.95,-76.35,270.0,top
C120,114.45,-76.35,270.0,top
C121,126.0875,-40.85,90.0,top
C122,140.63473,-104.481517,0.0,top
C123,140.63473,-106.041518,0.0,top
C124,140.63473,-107.601519,0.0,top
C125,146.589999,-111.654999,0.0,top
C126,132.712071,-96.7,180.0,top
C127,132.712071,-99.702069,180.0,top
C128,132.71207,-98.197069,180.0,top
C129,127.302072,-92.862069,270.0,top
C13,115.05,-159.55,0.0,bottom
C130,107.45,-87.85,180.0,top
C131,147.459999,-114.065,180.0,top
C132,115.95,-83.5,0.0,top
C134,107.08,-109.69,270.0,top
C135,137.787071,-117.377928,0.0,top
C136,129.662071,-89.762069,180.0,top
C14,111.75,-162.65,270.0,bottom
C141,141.609999,-113.685,180.0,top
C143,141.609999,-115.1425,0.0,top
C144,136.172928,-103.677929,270.0,top
C145,126.562072,-90.652069,0.0,top
C147,138.162928,-103.67793,270.0,top
C153,142.599999,-119.045,0.0,top
C155,141.682071,-86.782069,270.0,top
C156,137.099571,-86.782069,90.0,top
C157,138.627071,-86.782069,270.0,top
C158,132.375,-83.702069,270.0,top
C159,148.032928,-97.827929,270.0,top
C16,112.5,-139.3,0.0,bottom
C160,151.482928,-97.027929,270.0,top
C161,152.392071,-87.09207,270.0,top
C162,153.242071,-90.2,270.0,top
C163,149.932928,-96.477929,0.0,top
C164,148.032928,-100.777929,90.0,top
C168,152.362071,-83.842067,0.0,top
C169,152.362071,-85.31207,0.0,top
C17,103.85,-145.6,90.0,top
C176,117.2,-142.05,180.0,bottom
C177,133.08207,-87.498736,0.0,top
C178,123.55,-136.17,270.0,top
C179,129.93,-38.75,0.0,top
C18,144.75,-145.7,270.0,top
C180,125.85,-38.75,180.0,bottom
C181,143.33,-157.45,180.0,top
C182,130.45,-160.8,180.0,top
C184,135.9725,-149.7475,180.0,bottom
C185,134.182929,-103.677929,270.0,top
C186,140.154572,-86.782069,270.0,top
C187,135.572071,-86.782069,90.0,top
C188,133.08207,-90.632069,0.0,top
C189,133.08207,-89.065402,0.0,top
C19,141.72,-150.0,180.0,top
C190,126.25,-114.5,90.0,top
C191,126.35,-106.85,270.0,top
C192,129.15,-116.75,180.0,top
C2,139.75,-135.15,90.0,bottom
C20,136.25,-152.2,180.0,top
C21,154.35,-151.45,0.0,bottom
C22,154.35,-152.7,0.0,bottom
C23,150.5,-149.35,270.0,bottom
C24,154.05,-149.21,270.0,bottom
C25,136.23,-153.15,0.0,top
C26,141.95,-150.4875,270.0,bottom
C27,134.95,-118.25,90.0,top
C28,132.7,-156.45,180.0,bottom
C29,132.7,-154.1,0.0,bottom
C3,144.7,-140.35,180.0,top
C30,144.25,-150.5125,270.0,bottom
C31,136.8,-151.5325,0.0,bottom
C32,132.7325,-151.7875,0.0,bottom
C33,138.65,-146.7,0.0,top
C34,139.65,-150.4875,270.0,bottom
C35,100.87,-108.38,270.0,top
C36,138.6,-147.7,0.0,top
C37,133.5225,-149.8975,0.0,bottom
C38,137.8725,-140.5125,90.0,top
C39,138.4225,-142.8475,0.0,top
C40,140.5,-143.4,90.0,top
